
OptiFine_1.4.6_HD_U_D5
Sun May 12 17:17:05 BST 2013
OS: Windows 7 (x86) version 6.1
Java: 1.6.0_20, Sun Microsystems Inc.
VM: Java HotSpot(TM) Client VM (mixed mode, sharing), Sun Microsystems Inc.
LWJGL: 2.4.2
OpenGL: Mobile Intel(R) 4 Series Express Chipset Family version 2.1.0 - Build 8.15.10.1892, Intel
OpenGL Version: 2.1
OpenGL Fancy fog: Not available (GL_NV_fog_distance)
(Reflector) Class not present: LightCache
(Reflector) Class not present: BlockCoord
TextureFX registered: bdj@1d382ab, texId: 7, index: 237
TextureFX registered: bdm@1ce00b4, texId: 7, index: 205
TextureFX registered: bdk@19067e5, texId: 7, index: 14
TextureFX registered: bdf@6d6aa0, texId: 8, index: 54
TextureFX registered: bde@f1fad1, texId: 8, index: 70
TextureFX registered: bdl@8c858a, texId: 7, index: 206
TextureFX registered: bdi@1933acb, texId: 7, index: 238
TextureFX registered: bdh@f9104a, texId: 7, index: 31
TextureFX registered: bdh@19c9f16, texId: 7, index: 47
TextureFX removed: bdj@1d382ab, texId: 7, index: 237
TextureFX registered: TextureHDLavaFX@b9132a, texId: 7, index: 237
TextureFX removed: bdm@1ce00b4, texId: 7, index: 205
TextureFX registered: TextureHDWaterFX@996b65, texId: 7, index: 205
TextureFX removed: bdk@19067e5, texId: 7, index: 14
TextureFX registered: TextureHDPortalFX@59c8b5, texId: 7, index: 14
TextureFX removed: bdl@8c858a, texId: 7, index: 206
TextureFX registered: TextureHDWaterFlowFX@881cb3, texId: 7, index: 206
TextureFX removed: bdi@1933acb, texId: 7, index: 238
TextureFX registered: TextureHDLavaFlowFX@143753, texId: 7, index: 238
TextureFX removed: bdh@f9104a, texId: 7, index: 31
TextureFX registered: TextureHDFlamesFX@13c4c09, texId: 7, index: 31
TextureFX removed: bdh@19c9f16, texId: 7, index: 47
TextureFX registered: TextureHDFlamesFX@1e6978d, texId: 7, index: 47
TextureFX removed: bdf@6d6aa0, texId: 8, index: 54
TextureFX registered: TextureHDCompassFX@1798928, texId: 8, index: 54
TextureFX removed: bde@f1fad1, texId: 8, index: 70
TextureFX registered: TextureHDWatchFX@f5b2e4, texId: 8, index: 70
Loading custom colors: /misc/grasscolor.png
Loading custom colors: /misc/foliagecolor.png
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 12, texId: 16, index: 12
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 13, texId: 16, index: 13
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 14, texId: 16, index: 14
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 15, texId: 16, index: 15
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 16, texId: 16, index: 16
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 17, texId: 16, index: 17
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 18, texId: 16, index: 18
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 19, texId: 16, index: 19
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 20, texId: 16, index: 20
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 21, texId: 16, index: 21
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 22, texId: 16, index: 22
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 23, texId: 16, index: 23
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 24, texId: 16, index: 24
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 25, texId: 16, index: 25
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 26, texId: 16, index: 26
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 27, texId: 16, index: 27
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 28, texId: 16, index: 28
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 29, texId: 16, index: 29
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 30, texId: 16, index: 30
TextureFX registered: ModTextureStatic /spriteSheets/armour.png @ 31, texId: 16, index: 31
